"Lobbying Firm","Total Income"
"Akin Gump et al","$989850000"
"Brownstein Hyatt et al","$717332250"
"Cassidy & Assoc","$591842100"
"Holland & Knight","$580964544"
"Van Scoyoc Assoc","$555683000"
"Patton Boggs LLP","$525202000"
"BGR Group","$486419000"
"Cornerstone Government Affairs","$464999500"
"Williams & Jensen","$425344000"
"K&L Gates","$341285000"
"Ernst & Young","$323586737"
"Capitol Counsel","$316291000"
"Squire Patton Boggs","$290077000"
"Alpine Group","$289543000"
"Covington & Burling","$276810393"
"Capitol Tax Partners","$271535000"
"Invariant LLC","$259680000"
"Podesta Group","$258450000"
"Ogilvy Government Relations","$257120000"
"Ballard Partners","$229427000"
