entity_id,name,cluster_id,issue_community_id,relationship_community_id,cluster_label
firm_7257,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",0,0,62,Other / Multi-sector
firm_682,AKIN GUMP STRAUSS HAUER & FELD,0,0,62,Other / Multi-sector
firm_5357,BGR GOVERNMENT AFFAIRS,0,0,62,Other / Multi-sector
firm_75557,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",0,0,62,Other / Multi-sector
firm_18466,HOLLAND & KNIGHT LLP,0,0,62,Other / Multi-sector
firm_314237,INVARIANT LLC,0,0,62,Other / Multi-sector
firm_401104288,BALLARD PARTNERS,0,0,91,Other / Multi-sector
firm_313715,CAPITOL COUNSEL LLC,0,0,62,Other / Multi-sector
firm_30906,SQUIRE PATTON BOGGS,0,0,62,Other / Multi-sector
firm_284950,"MEHLMAN CONSULTING, INC.",0,0,62,Other / Multi-sector
firm_400976792,FORBES-TATE,0,0,62,Other / Multi-sector
firm_400534596,THORN RUN PARTNERS,0,0,62,Other / Multi-sector
firm_8453,"CASSIDY & ASSOCIATES, INC.",0,0,62,Other / Multi-sector
firm_20744,TIBER CREEK GROUP,0,0,62,Other / Multi-sector
firm_400531586,"CROSSROADS STRATEGIES, LLC",0,0,62,Other / Multi-sector
firm_32098,"K&L GATES, LLP",0,0,62,Other / Multi-sector
firm_401108853,LOC COMMUNITY ASSOCIATION,2,2,79,Other / Multi-sector
firm_39837,VAN SCOYOC ASSOCIATES,0,0,62,Other / Multi-sector
firm_313271,"AVOQ, LLC",0,0,62,Other / Multi-sector
firm_1171,"ALPINE GROUP PARTNERS, LLC.",0,0,62,Other / Multi-sector
firm_401104313,"MILLER STRATEGIES, LLC",0,0,62,Other / Multi-sector
firm_41454,"WILLIAMS AND JENSEN, PLLC",0,0,62,Other / Multi-sector
firm_304736,"TARPLIN, DOWNS & YOUNG, LLC",3,3,62,Other / Multi-sector
firm_65976,"CAPITOL TAX PARTNERS, LLP",4,4,62,Other / Multi-sector
