entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
firm_25603,firm_401104458,"ML STRATEGIES, LLC","SL STRATEGIES, LLC",94.44,True
firm_400625900,firm_401107175,"CAPITOL STRATEGIES, LLC","CAPITOL STRATEGIES US, LLC",93.88,True
firm_307730,firm_401106398,"POLARIS GOVERNMENT RELATIONS, LLC","PARK GOVERNMENT RELATIONS, LLC",92.06,True
firm_401109283,firm_290070,"MO STRATEGIES, INC.","MWR STRATEGIES, INC.",92.31,True
firm_318994,firm_401105350,SC PARTNERS LLC,SR PARTNERS LLC,93.33,True
firm_401104101,firm_401106381,B+S STRATEGIES,NBS STRATEGIES,92.86,True
firm_401103849,firm_401105796,"R2P STRATEGIES, LLC","RMP STRATEGIES, LLC",94.74,True
firm_401106546,firm_401104340,DGA GROUP GOVERNMENT RELATIONS LLC,"GOVERNMENT RELATIONS GROUP, LLC",92.31,True
firm_401107311,firm_400462294,"STRATEGIC CAPITOL GROUP, LLC","CAPITOL STRATEGIES GROUP, LLC",94.74,True
firm_401104626,firm_401105616,ARDENT STRATEGIES,DENT STRATEGIES,93.75,True
firm_401104718,firm_401105815,HB STRATEGIES,KH STRATEGIES,92.31,True
firm_401106003,firm_401107086,"CAPITOL SOLUTIONS, LLC (DC)",CAPITOL SOLUTIONS LLC (MD),94.34,True
firm_401104815,firm_401105126,RML STRATEGIES,MLJ STRATEGIES,92.86,True
firm_401107496,firm_401105982,GREEN MOUNTAIN STRATEGIES LLC DC,GREEN MOUNTAIN STRATEGIES LLC,95.08,True
firm_29777,firm_401104495,C2 STRATEGIES,G2 STRATEGIES,92.31,True
firm_401103260,firm_401106143,"E2 STRATEGIES, LLC","A2 STRATEGIES, LLC",94.44,True
firm_401103260,firm_401108157,"E2 STRATEGIES, LLC","E2C STRATEGIES, LLC",97.3,True
client_00039,firm_2718,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,100.0,True
firm_57475,client_00072,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),100.0,True
client_00150,firm_300856,AMERICAN ACADEMY OF NEUROLOGY,AMERICAN ACADEMY OF NEUROLOGY,100.0,True
client_00164,firm_3413,AMERICAN SOCIETY OF CIVIL ENGINEERS,AMERICAN SOCIETY OF CIVIL ENGINEERS,100.0,True
client_00167,firm_28891,"INTERNATIONAL MOTORS, LLC (FORMERLY NAVISTAR, INC)","INTERNATIONAL MOTORS, LLC (FORMERLY NAVISTAR, INC.)",99.01,True
client_00185,firm_34887,SERVICE EMPLOYEES INTERNATIONAL UNION CTW-CLC,SERVICE EMPLOYEES INTERNATIONAL UNION CTW-CLC,100.0,True
client_00244,firm_401102072,ULTRA MARITIME LLC (FORMERLY REPORTED AS ULTRA ELECTRONICS DEFENSE INC),ULTRA MARITIME LLC (FORMERLY REPORTED AS ULTRA ELECTRONICS DEFENSE INC),100.0,True
client_00353,client_00392,GOVERNMENT OF U.S. VIRGIN ISLANDS,GOVERNMENT OF U.S. VIRGIN ISLANDS,100.0,True
client_00414,client_00469,"CHRYSALIS HOLDINGS, INC. (D.B.A. NEWDAY)","CHRYSALIS HOLDINGS, INC. (D.B.A. NEWDAY)",100.0,True
client_00549,firm_42067,YMCA OF THE USA,YMCA OF THE USA,100.0,True
client_00574,client_00575,"AMERICAN SOCIETY OF COMPOSERS, AUTHORS AND PUBLISHERS (ASCAP)","AMERICAN SOCIETY OF COMPOSERS, AUTHORS, AND PUBLISHERS",92.17,True
client_00505,client_00584,CLEAN ENERGY GROUP STRATEGY/MJB&A COALITIONS,CLEAN ENERGY GROUP STRATEGY/MJB&A COALITIONS,100.0,True
client_00507,client_00588,ACA CONNECTS - AMERICA'S COMMUNICATION ASSOCIATION,ACA CONNECTS - AMERICA'S COMMUNICATION ASSOCIATION,100.0,True
client_00526,client_00591,U.S SUGAR CORPORATION,U.S. SUGAR CORPORATION,97.67,True
client_00524,client_00639,ALLIED UNIVERSAL (F/K/A ALLIED BARTON SECURITY SERVICES),ALLIED UNIVERSAL (F/K/A ALLIED BARTON SECURITY SERVICES),100.0,True
client_00652,firm_401104688,HENKEL OF AMERICA INC.,HENKEL OF AMERICA INC.,100.0,True
client_00543,client_00658,"CERBERUS CAPITAL MANAGEMENT, L.P.","CERBERUS CAPITAL MANAGEMENT, L.P.",100.0,True
client_00659,firm_401105505,CITGO PETROLEUM CORPORATION,CITGO PETROLEUM CORPORATION,100.0,True
client_00687,client_00688,HC HOLDINGS S.A.,HC HOLDINGS S.A.,100.0,True
client_00720,firm_401106304,OAK STREET HEALTH,OAK STREET HEALTH,100.0,True
client_00723,client_00787,BLACKSTONE ADMINISTRATIVE SERVICES PARTNERSHIPS L.P.,BLACKSTONE ADMINISTRATIVE SERVICES PARTNERSHIPS L.P.,100.0,True
client_00695,client_00804,LLOYD'S OF LONDON,LLOYD'S OF LONDON,100.0,True
client_00815,firm_401106087,"SUPERNAL, LLC (FKA GENESIS AIR MOBILITY)","SUPERNAL, LLC (FKA GENESIS AIR MOBILITY)",100.0,True
client_00694,client_00838,LETTERONE HOLDINGS S.A.,LETTERONE HOLDINGS S.A.,100.0,True
client_00674,client_00840,"PLAINS ALL AMERICAN PIPELINE, L.P.","PLAINS ALL AMERICAN PIPELINE, L.P.",100.0,True
client_00791,client_00866,"AT&T SERVICES, INC. (FKA AT&T)","AT&T SERVICES, INC. (FKA AT&T)",100.0,True
client_00771,client_00882,"ELEVANCE HEALTH, INC (F.K.A. ANTHEM, INC. & WELLPOINT, INC.)","ELEVANCE HEALTH, INC (F.K.A. ANTHEM, INC. & WELLPOINT, INC.)",100.0,True
client_00353,client_00894,GOVERNMENT OF U.S. VIRGIN ISLANDS,GOVERNMENT OF THE U.S. VIRGIN ISLANDS,94.29,True
client_00794,client_00927,S&P GLOBAL INC (FORMERLY MCGRAW HILL FINANCIAL),S&P GLOBAL INC (FORMERLY MCGRAW HILL FINANCIAL),100.0,True
client_00822,client_00936,DUPONT SPECIALTY PRODUCTS(PREVIOUSLY REPORTED AS E.I. DU PONT DE NEMOURS AND CO),DUPONT SPECIALTY PRODUCTS(PREVIOUSLY REPORTED AS E.I. DU PONT DE NEMOURS AND CO),100.0,True
