entity_a_id,entity_b_id,entity_a_name,entity_b_name,match_score,merge_accepted
firm_5357,firm_401054971,BGR GOVERNMENT AFFAIRS,FTI GOVERNMENT AFFAIRS,86.36,False
firm_401104313,firm_25603,"MILLER STRATEGIES, LLC","ML STRATEGIES, LLC",90.0,False
firm_400605842,firm_25603,"W STRATEGIES, LLC","ML STRATEGIES, LLC",85.71,False
firm_25603,firm_401057986,"ML STRATEGIES, LLC","SBL STRATEGIES, LLC",91.89,False
firm_400605842,firm_400434103,"W STRATEGIES, LLC","WATER STRATEGIES, LLC",89.47,False
firm_401104582,firm_401103494,SPLITOAK STRATEGIES LLC,SIRONA STRATEGIES LLC,86.36,False
firm_25603,firm_401104546,"ML STRATEGIES, LLC","SIMS STRATEGIES, LLC",89.47,False
firm_401057986,firm_401104546,"SBL STRATEGIES, LLC","SIMS STRATEGIES, LLC",87.18,False
firm_401104313,firm_316057,"MILLER STRATEGIES, LLC",ICE MILLER STRATEGIES LLC,89.36,False
firm_25603,firm_401104425,"ML STRATEGIES, LLC","PLURUS STRATEGIES, LLC",85.0,False
firm_401104313,firm_401104458,"MILLER STRATEGIES, LLC","SL STRATEGIES, LLC",85.0,False
firm_400605842,firm_401104458,"W STRATEGIES, LLC","SL STRATEGIES, LLC",85.71,False
firm_40011081,firm_84217,"KADESH & ASSOCIATES, LLC","CARD & ASSOCIATES, LLC",86.96,False
firm_29777,firm_400431088,C2 STRATEGIES,COVE STRATEGIES,85.71,False
firm_72053,firm_401104937,CAPITOL HILL CONSULTING GROUP,CAPITOL CONSULTING GROUP LLC (DC),87.1,False
firm_400532589,firm_400581776,PRIME POLICY GROUP,RIDGE POLICY GROUP,88.89,False
firm_70175,firm_400903639,"MERCURY PUBLIC AFFAIRS, LLC",MABRY PUBLIC AFFAIRS LLC,86.27,False
firm_401104718,firm_401106545,HB STRATEGIES,HSA STRATEGIES,88.89,False
firm_40011081,firm_21084,"KADESH & ASSOCIATES, LLC","KANNER & ASSOCIATES, LLC",87.5,False
firm_84217,firm_21084,"CARD & ASSOCIATES, LLC","KANNER & ASSOCIATES, LLC",86.96,False
firm_401103500,firm_401105219,FIERCE GOVERNMENT RELATIONS,CONFLUENCE GOVERNMENT RELATIONS,86.21,False
firm_401104313,firm_401079030,"MILLER STRATEGIES, LLC","MELTSNER STRATEGIES, LLC",86.96,False
firm_25603,firm_401079030,"ML STRATEGIES, LLC","MELTSNER STRATEGIES, LLC",85.71,False
firm_401104425,firm_58432,"PLURUS STRATEGIES, LLC","PARK STRATEGIES, LLC",85.71,False
firm_400794388,firm_305635,"SCONSET STRATEGIES, LLC","MONUMENT STRATEGIES, LLC",85.11,False
firm_401104143,firm_401105297,CARPENTER STRATEGIC CONSULTING LLC,"CLINE STRATEGIC CONSULTING, LLC",86.15,False
firm_401103206,firm_401105297,"STRATEGICS CONSULTING, LLC","CLINE STRATEGIC CONSULTING, LLC",87.72,False
firm_400703107,firm_401104885,"THE GIBSON GROUP, LLC","THE GABOTON GROUP, LLC",88.37,False
firm_288954,firm_17328,TASSEY & ASSOCIATES,HALEY & ASSOCIATES,86.49,False
firm_401104718,firm_401104101,HB STRATEGIES,B+S STRATEGIES,88.89,False
firm_401106545,firm_401104101,HSA STRATEGIES,B+S STRATEGIES,85.71,False
firm_401103500,firm_306011,FIERCE GOVERNMENT RELATIONS,FIDELIS GOVERNMENT RELATIONS,87.27,False
firm_304337,firm_306011,DUNKEL GOVERNMENT RELATIONS,FIDELIS GOVERNMENT RELATIONS,87.27,False
firm_400493433,firm_400625900,"CAPITALEDGE STRATEGIES, LLC","CAPITOL STRATEGIES, LLC",88.0,False
firm_91774,firm_400625900,"CAPITOL HILL STRATEGIES,  LLC","CAPITOL STRATEGIES, LLC",90.2,False
firm_297294,firm_401104189,BOSE PUBLIC AFFAIRS GROUP,BIGHORN PUBLIC AFFAIRS GROUP,86.79,False
firm_400704112,firm_401104700,"CORLEY CONSULTING, LLC",CORDONE CONSULTING LLC,86.36,False
firm_400794388,firm_401106120,"SCONSET STRATEGIES, LLC","SCHERTZ STRATEGIES, LLC",86.96,False
firm_25603,firm_401106902,"ML STRATEGIES, LLC","OCULUS STRATEGIES, LLC",85.0,False
firm_401104425,firm_401106902,"PLURUS STRATEGIES, LLC","OCULUS STRATEGIES, LLC",86.36,False
firm_49635,firm_401104378,"THE LIVINGSTON GROUP, LLC","THE LIAISON GROUP, LLC",89.36,False
firm_401105554,firm_401105683,OAK GROVE STRATEGIES,LIVE OAK STRATEGIES,87.18,False
firm_401105417,firm_401109030,"ELEVATE GOVERNMENT AFFAIRS, LLC","COVENANT GOVERNMENT AFFAIRS, LLC",85.71,False
firm_400903639,firm_401105212,MABRY PUBLIC AFFAIRS LLC,PARK&K PUBLIC AFFAIRS LLC,85.71,False
