entity_id,gov_GOV_CMS,gov_GOV_DHS,gov_GOV_DOC,gov_GOV_DOD,gov_GOV_DOJ,gov_GOV_DOT,gov_GOV_ENERGY,gov_GOV_EOP,gov_GOV_EPA,gov_GOV_HHS,gov_GOV_HOUSE,gov_GOV_LABOR,gov_GOV_SENATE,gov_GOV_STATE,gov_GOV_TREASURY,gov_GOV_USDA,gov_GOV_WHITEHOUSE,issue_ACC,issue_ADV,issue_AER,issue_AGR,issue_ALC,issue_ANI,issue_APP,issue_ART,issue_AUT,issue_AVI,issue_BAN,issue_BEV,issue_BNK,issue_BUD,issue_CAW,issue_CDT,issue_CHM,issue_CIV,issue_COM,issue_CON,issue_CPI,issue_CPT,issue_CSP,issue_DEF,issue_DIS,issue_DOC,issue_ECN,issue_EDU,issue_ENG,issue_ENV,issue_FAM,issue_FIN,issue_FIR,issue_FOO,issue_FOR,issue_FUE,issue_GAM,issue_GOV,issue_HCR,issue_HOM,issue_HOU,issue_IMM,issue_IND,issue_INS,issue_INT,issue_LAW,issue_LBR,issue_MAN,issue_MAR,issue_MED,issue_MIA,issue_MMM,issue_MON,issue_NAT,issue_PHA,issue_POS,issue_REL,issue_RES,issue_RET,issue_ROD,issue_RRR,issue_SCI,issue_SMB,issue_SPO,issue_TAR,issue_TAX,issue_TEC,issue_TOB,issue_TOR,issue_TOU,issue_TRA,issue_TRD,issue_TRU,issue_UNM,issue_URB,issue_UTI,issue_VET,issue_WAS,issue_WEL,num_log_spend,num_log_filings
firm_7257,0.376545,0.595221,0.78573,0.282738,0.658116,0.266481,0.575763,1.192176,0.561582,0.500892,0.707973,0.0,0.795444,0.0,1.479453,0.481047,1.195527,0.015409,0.0,0.011404,0.096423,0.0,0.008338,0.0,0.01748,0.007817,0.038402,0.133579,0.0,0.016965,0.268074,0.007379,0.003792,0.0,0.016965,0.021624,0.0,0.037308,0.06012,0.066825,0.118521,0.01649,0.0,0.02078,0.093911,0.221589,0.114123,0.0,0.280597,0.007817,0.029459,0.126318,0.006919,0.041883,0.227772,0.319828,0.083308,0.061104,0.072955,0.025586,0.050372,0.006992,0.057521,0.164159,0.028476,0.028453,0.057337,0.0142,0.132222,0.015635,0.198436,0.045155,0.0,0.0,0.051605,0.032479,0.003587,0.0,0.084504,0.041037,0.018586,0.01354,0.581719,0.169562,0.018053,0.009701,0.032613,0.098501,0.201625,0.019315,0.006383,0.045386,0.0,0.050519,0.0,0.0,0.190549,0.157597
firm_682,0.459663,0.591582,0.9492,0.375459,0.404802,0.525714,0.443136,1.292343,0.409266,0.639222,0.771105,0.0,0.920076,0.0,1.013484,0.381126,1.378542,0.007888,0.011003,0.027448,0.113337,0.001895,0.011556,0.020097,0.007472,0.033557,0.0501,0.08305,0.010742,0.00432,0.254154,0.013032,0.005164,0.02916,0.01699,0.018826,0.018624,0.049481,0.093822,0.112254,0.168726,0.024545,0.0,0.048851,0.068011,0.193886,0.10968,0.0,0.124973,0.008005,0.006831,0.10894,0.029433,0.013466,0.097923,0.400781,0.077953,0.016614,0.078064,0.053617,0.04688,0.012325,0.049921,0.101303,0.109004,0.034766,0.025351,0.001895,0.185074,0.0,0.027569,0.040961,0.023029,0.0,0.00432,0.038143,0.012223,0.010586,0.08161,0.072919,0.014964,0.022535,0.51328,0.097194,0.009697,0.015534,0.009697,0.239765,0.410715,0.003528,0.001895,0.005839,0.019677,0.063723,0.0,0.008726,0.189808,0.155108
firm_5357,0.859302,0.422817,0.948354,0.450648,0.384489,0.422676,0.25599,1.170207,0.175503,1.074429,1.08402,0.0,0.880758,0.0,0.639252,0.285876,1.261968,0.0,0.0,0.0,0.061415,0.006303,0.004156,0.0,0.018251,0.020104,0.031906,0.051086,0.019933,0.023009,0.287159,0.014782,0.011508,0.014782,0.0,0.004156,0.006303,0.059372,0.063217,0.068613,0.180794,0.0,0.0,0.046509,0.063126,0.063498,0.06641,0.0,0.146277,0.0,0.07689,0.207466,0.006644,0.014095,0.12562,0.705135,0.032345,0.027783,0.055458,0.004156,0.038226,0.0,0.015217,0.075652,0.124629,0.027042,0.015217,0.0,0.202292,0.0,0.036115,0.078425,0.0,0.0,0.006303,0.026726,0.011508,0.014095,0.053988,0.040848,0.004156,0.056221,0.25694,0.181924,0.0,0.0,0.0,0.166586,0.226745,0.0,0.0,0.0,0.0,0.018251,0.0,0.006303,0.187142,0.151133
firm_75557,0.358059,0.743778,0.511086,0.85866,0.647016,0.34824,0.286701,0.977394,0.331599,0.58143,1.362921,0.0,1.363113,0.0,0.423564,0.621606,1.00659,0.0,0.0,0.025973,0.212649,0.013045,0.030836,0.0,0.0,0.011032,0.069562,0.038165,0.007007,0.007007,0.689906,0.008091,0.0,0.006267,0.007664,0.019484,0.0,0.024023,0.01705,0.019092,0.344533,0.039743,0.0,0.041805,0.144904,0.107599,0.076101,0.007007,0.051098,0.004955,0.050666,0.060044,0.014358,0.004431,0.059715,0.319346,0.154022,0.014179,0.081277,0.025007,0.015653,0.018684,0.047047,0.094439,0.033202,0.035135,0.042491,0.0,0.139387,0.0,0.044387,0.025455,0.0,0.0,0.009885,0.012522,0.012366,0.0,0.123947,0.035341,0.014947,0.007348,0.247556,0.052063,0.008177,0.0,0.005297,0.120681,0.161144,0.003303,0.013471,0.029505,0.0,0.039197,0.0,0.01051,0.186538,0.156996
firm_18466,0.490956,0.610206,0.400506,0.657099,0.607479,0.849351,0.498498,0.932169,0.487881,0.641526,1.269804,0.0,1.22295,0.0,0.646812,0.24933,1.161219,0.007948,0.0,0.024089,0.078702,0.004929,0.0,0.003974,0.0,0.011229,0.114086,0.06603,0.0,0.0,0.615759,0.020265,0.003974,0.05788,0.012567,0.012567,0.012567,0.016541,0.019375,0.043868,0.271385,0.055589,0.0,0.047782,0.058765,0.209049,0.150595,0.0,0.101166,0.0,0.016365,0.024958,0.007255,0.029401,0.056989,0.357998,0.140855,0.129487,0.064484,0.052102,0.0,0.0,0.065258,0.074603,0.066056,0.0,0.048623,0.0,0.128953,0.0,0.075766,0.041799,0.015418,0.0,0.0,0.0,0.0,0.027095,0.062308,0.019147,0.00513,0.017772,0.291429,0.074469,0.026658,0.0,0.007255,0.301578,0.148724,0.007948,0.0,0.029524,0.014809,0.040134,0.018219,0.014608,0.186444,0.155354
firm_314237,0.276705,0.595032,0.821256,0.699609,0.591807,0.361815,0.371781,1.295067,0.60798,0.393288,0.783132,0.0,0.74337,0.0,1.266237,0.570168,1.220748,0.0,0.010385,0.034799,0.227959,0.0,0.00785,0.011991,0.0,0.009288,0.045694,0.128815,0.02128,0.0,0.23562,0.006568,0.0,0.015047,0.034204,0.054282,0.0,0.190289,0.047502,0.137931,0.297439,0.068928,0.0,0.031364,0.025141,0.138674,0.251096,0.005996,0.282623,0.0,0.059474,0.055051,0.017308,0.0,0.089958,0.231342,0.077297,0.05494,0.066745,0.010385,0.060856,0.042607,0.041026,0.304934,0.066941,0.0,0.018864,0.023488,0.081806,0.0,0.005037,0.028597,0.01847,0.0,0.008479,0.061655,0.012119,0.005996,0.097687,0.08933,0.0,0.037149,0.484253,0.076664,0.0,0.0,0.0,0.174542,0.248485,0.009288,0.005551,0.0,0.006923,0.040858,0.0,0.0,0.184896,0.14578
firm_401104288,0.52062,0.749475,1.031829,0.426513,0.753192,0.597894,0.725664,1.206864,0.425181,0.637644,0.605121,0.0,0.737517,0.0,0.975963,0.210654,1.232244,0.0,0.0,0.02113,0.060542,0.0,0.0,0.0,0.0,0.039412,0.074705,0.093271,0.032193,0.0,0.25783,0.009961,0.042259,0.019921,0.018587,0.062306,0.0,0.080685,0.063837,0.029152,0.159875,0.03139,0.0,0.007715,0.104526,0.34335,0.121388,0.0,0.154204,0.0,0.008626,0.056969,0.009961,0.077016,0.386469,0.311434,0.091244,0.02113,0.065076,0.0,0.0,0.011294,0.013364,0.209736,0.037292,0.009961,0.109739,0.011294,0.184427,0.0,0.084162,0.092066,0.0,0.0,0.089646,0.008626,0.0,0.0,0.107461,0.020525,0.0,0.079563,0.378583,0.168718,0.02113,0.008626,0.017252,0.228208,0.263213,0.029882,0.0,0.036071,0.0,0.037133,0.017252,0.013364,0.183606,0.144711
firm_313715,0.95304,0.123465,0.533112,0.195552,0.222612,0.126351,0.227448,1.161525,0.230736,1.046781,0.834999,0.0,1.163124,0.0,1.314015,0.22107,1.145883,0.0,0.017069,0.0,0.093905,0.0,0.0,0.0,0.0,0.013937,0.054769,0.111233,0.0,0.0,0.272383,0.0,0.0,0.024037,0.0,0.02065,0.009855,0.0,0.013937,0.013937,0.081187,0.016549,0.0,0.031005,0.0,0.105261,0.060319,0.0,0.254588,0.012069,0.012069,0.037728,0.0,0.038075,0.006968,0.508124,0.006695,0.032673,0.041536,0.009855,0.05835,0.0,0.031779,0.0418,0.034832,0.0,0.034934,0.010795,0.392276,0.0,0.017069,0.055144,0.0,0.0,0.032298,0.0,0.0,0.0,0.010795,0.09421,0.0,0.024037,0.568624,0.090078,0.017069,0.0,0.038075,0.056738,0.179382,0.0,0.0,0.008534,0.0,0.052428,0.0,0.0,0.181646,0.147299
firm_30906,0.236196,0.627207,0.754395,0.365289,0.597777,0.704901,0.296376,1.198917,0.616644,0.407244,1.149468,0.0,1.170489,0.0,0.753924,0.410802,1.222386,0.005779,0.0,0.014447,0.138065,0.0,0.011557,0.0,0.005779,0.066475,0.083701,0.024706,0.0,0.0,0.516836,0.052767,0.0,0.031925,0.00546,0.015994,0.0,0.051615,0.038136,0.062201,0.18967,0.129374,0.0,0.026261,0.084225,0.115233,0.189722,0.0,0.078308,0.0,0.018343,0.085166,0.014916,0.0,0.122021,0.281063,0.118937,0.051212,0.104209,0.013792,0.011239,0.027921,0.043915,0.106791,0.071067,0.069134,0.06703,0.028894,0.077674,0.008014,0.092214,0.00546,0.0,0.0,0.015021,0.029603,0.008014,0.017478,0.06022,0.045038,0.011239,0.014447,0.416942,0.100771,0.0,0.0,0.0,0.323046,0.314415,0.009137,0.0,0.069336,0.0,0.017018,0.0,0.0,0.181411,0.141537
firm_284950,0.87642,0.5442,0.955176,0.267771,0.374598,0.23277,0.276111,1.10418,0.263487,0.969393,0.86424,0.0,1.036407,0.0,0.913176,0.154803,1.331793,0.022732,0.0,0.0,0.061608,0.013852,0.019974,0.0,0.0,0.015376,0.047491,0.049636,0.0,0.006954,0.361346,0.021004,0.0,0.021004,0.044738,0.074488,0.016309,0.169514,0.071155,0.149105,0.138467,0.032832,0.0,0.040977,0.007688,0.101599,0.112879,0.006658,0.119459,0.008155,0.027065,0.052324,0.013282,0.0,0.073365,0.481808,0.111902,0.04453,0.059913,0.013316,0.091829,0.035438,0.029923,0.15542,0.078463,0.030255,0.029229,0.0,0.317236,0.0,0.013316,0.089677,0.0,0.0,0.005955,0.03145,0.006164,0.02063,0.110081,0.037257,0.0,0.006658,0.447667,0.12014,0.0,0.010315,0.0,0.093354,0.28181,0.016479,0.0,0.0,0.013612,0.076305,0.0,0.0,0.181358,0.143826
