entity_id,name,entity_type,industry_label
firm_7257,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",firm,Legal & Lobbying
firm_682,AKIN GUMP STRAUSS HAUER & FELD,firm,Legal & Lobbying
firm_5357,BGR GOVERNMENT AFFAIRS,firm,Technology & Telecom
firm_75557,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",firm,Technology & Telecom
firm_18466,HOLLAND & KNIGHT LLP,firm,Legal & Lobbying
firm_314237,INVARIANT LLC,firm,Other / Multi-sector
firm_401104288,BALLARD PARTNERS,firm,Other / Multi-sector
firm_313715,CAPITOL COUNSEL LLC,firm,Other / Multi-sector
firm_30906,SQUIRE PATTON BOGGS,firm,Other / Multi-sector
firm_284950,"MEHLMAN CONSULTING, INC.",firm,Legal & Lobbying
firm_400976792,FORBES-TATE,firm,Other / Multi-sector
firm_400534596,THORN RUN PARTNERS,firm,Other / Multi-sector
firm_8453,"CASSIDY & ASSOCIATES, INC.",firm,Other / Multi-sector
firm_20744,TIBER CREEK GROUP,firm,Other / Multi-sector
firm_400531586,"CROSSROADS STRATEGIES, LLC",firm,Legal & Lobbying
firm_32098,"K&L GATES, LLP",firm,Legal & Lobbying
firm_401108853,LOC COMMUNITY ASSOCIATION,firm,Government & Nonprofit
firm_39837,VAN SCOYOC ASSOCIATES,firm,Other / Multi-sector
firm_313271,"AVOQ, LLC",firm,Other / Multi-sector
firm_1171,"ALPINE GROUP PARTNERS, LLC.",firm,Other / Multi-sector
firm_401104313,"MILLER STRATEGIES, LLC",firm,Legal & Lobbying
firm_41454,"WILLIAMS AND JENSEN, PLLC",firm,Other / Multi-sector
firm_304736,"TARPLIN, DOWNS & YOUNG, LLC",firm,Other / Multi-sector
firm_65976,"CAPITOL TAX PARTNERS, LLP",firm,Legal & Lobbying
firm_11195,COVINGTON & BURLING LLP,firm,Legal & Lobbying
firm_400774330,S-3 GROUP,firm,Other / Multi-sector
firm_401103500,FIERCE GOVERNMENT RELATIONS,firm,Other / Multi-sector
firm_48827,OGR,firm,Other / Multi-sector
