entity_id,name,x,y,coordinate_source,quality_flags
firm_7257,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",0.0309,-0.0208,umap,
firm_682,AKIN GUMP STRAUSS HAUER & FELD,0.0497,-0.0414,umap,
firm_5357,BGR GOVERNMENT AFFAIRS,0.0675,-0.1002,umap,
firm_75557,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",0.0176,-0.0868,umap,
firm_18466,HOLLAND & KNIGHT LLP,0.0475,-0.0746,umap,
firm_314237,INVARIANT LLC,0.0417,-0.0241,umap,
firm_401104288,BALLARD PARTNERS,0.043,-0.0389,umap,
firm_313715,CAPITOL COUNSEL LLC,0.0654,-0.1053,umap,
firm_30906,SQUIRE PATTON BOGGS,0.059,-0.049,umap,
firm_284950,"MEHLMAN CONSULTING, INC.",0.0708,-0.0903,umap,
firm_400976792,FORBES-TATE,0.0546,-0.0699,umap,
firm_400534596,THORN RUN PARTNERS,0.0498,-0.0901,umap,
firm_8453,"CASSIDY & ASSOCIATES, INC.",0.0636,-0.052,umap,
firm_20744,TIBER CREEK GROUP,0.07,-0.1048,umap,
firm_400531586,"CROSSROADS STRATEGIES, LLC",0.0417,-0.0422,umap,
firm_32098,"K&L GATES, LLP",0.0498,-0.0291,umap,
firm_401108853,LOC COMMUNITY ASSOCIATION,-0.0875,-0.0648,umap,
firm_39837,VAN SCOYOC ASSOCIATES,0.0201,-0.1007,umap,
firm_313271,"AVOQ, LLC",0.0458,-0.0518,umap,
firm_1171,"ALPINE GROUP PARTNERS, LLC.",0.0735,-0.0372,umap,
firm_401104313,"MILLER STRATEGIES, LLC",0.0576,-0.0273,umap,
firm_41454,"WILLIAMS AND JENSEN, PLLC",0.055,-0.0616,umap,
firm_304736,"TARPLIN, DOWNS & YOUNG, LLC",0.0409,-0.1753,umap,
firm_65976,"CAPITOL TAX PARTNERS, LLP",-0.0006,0.0062,umap,
firm_11195,COVINGTON & BURLING LLP,0.0696,-0.0766,umap,
firm_400774330,S-3 GROUP,0.0417,-0.0534,umap,
firm_401103500,FIERCE GOVERNMENT RELATIONS,0.061,-0.0107,umap,
firm_48827,OGR,0.0362,0.0058,umap,
firm_401103523,"HARBINGER STRATEGIES, LLC",-0.0146,0.0095,umap,
firm_308775,MONUMENT ADVOCACY,0.0385,-0.0286,umap,
firm_2057,ACG ADVOCACY,0.0333,-0.0545,umap,
