entity_id,issue_code,issue_label,policy_category,weight,source
firm_7257,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_682,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_5357,HCR,Healthcare,Healthcare,1.0,raw_issue_codes_or_propagated_profile
firm_75557,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_18466,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_314237,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_401104288,GOV,Government operations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_313715,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_30906,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_284950,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_400976792,HCR,Healthcare,Healthcare,1.0,raw_issue_codes_or_propagated_profile
firm_400534596,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_8453,DEF,Defense,Defense & Security,1.0,raw_issue_codes_or_propagated_profile
firm_20744,HCR,Healthcare,Healthcare,1.0,raw_issue_codes_or_propagated_profile
firm_400531586,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_32098,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_401108853,CIV,Civil rights and liberties,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_39837,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_313271,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_1171,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_401104313,ENG,Energy,Energy & Environment,1.0,raw_issue_codes_or_propagated_profile
firm_41454,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_304736,HCR,Healthcare,Healthcare,1.0,raw_issue_codes_or_propagated_profile
firm_65976,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_11195,TRD,Trade,Trade & Tariffs,1.0,raw_issue_codes_or_propagated_profile
firm_400774330,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_401103500,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_48827,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_401103523,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_308775,TRD,Trade,Trade & Tariffs,1.0,raw_issue_codes_or_propagated_profile
firm_2057,CPT,Consumer protection,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_70175,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_18422,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_60550,DEF,Defense,Defense & Security,1.0,raw_issue_codes_or_propagated_profile
firm_39941,HCR,Healthcare,Healthcare,1.0,raw_issue_codes_or_propagated_profile
firm_76855,DEF,Defense,Defense & Security,1.0,raw_issue_codes_or_propagated_profile
firm_296271,FIN,Finance,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_4301,BUD,Budget and appropriations,Other / Multi-sector,1.0,raw_issue_codes_or_propagated_profile
firm_1182,HCR,Healthcare,Healthcare,1.0,raw_issue_codes_or_propagated_profile
firm_6837,ENG,Energy,Energy & Environment,1.0,raw_issue_codes_or_propagated_profile
firm_86196,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_65191,HCR,Healthcare,Healthcare,1.0,raw_issue_codes_or_propagated_profile
firm_320918,HCR,Healthcare,Healthcare,1.0,raw_issue_codes_or_propagated_profile
firm_76992,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
firm_12675,TRD,Trade,Trade & Tariffs,1.0,raw_issue_codes_or_propagated_profile
firm_36710,TAX,Taxation,Finance,1.0,raw_issue_codes_or_propagated_profile
